有一个地方只有我们知道,饥饿游戏3：嘲笑鸟（上）,熊出没之雪岭熊风,霍比特人3：五军之战,奔跑吧！兄弟,一路惊喜,有种你爱我,甜蜜蜜,喜羊羊与灰太狼之羊年喜羊羊,神探驾到,我只要我们在一起,深海挑战,新年行动,坚不可摧,蜡笔总动员,摩尔庄园3：魔幻列车大冒险,智取威虎山,死亡之谜,重返20岁,澳门风云2,狼图腾,天将雄师,冲上云霄,钟馗伏魔：雪妖魔灵,爸爸去哪儿2,爸爸的假期,新年来啦之大闹除夕,爸爸去哪儿,兔侠之青黎传说,超能陆战队,吉星高照2015,通道转兵,将错就错,帕丁顿熊,木星上行,大喜临门,全能囧爸,洛克王国3圣龙的守护,北京纽约,美丽笨女人,寻找声音的耳朵,海岛之恋,母亲的梦想,灰姑娘,封门诡影,扑通扑通我的人生,奇缘灰姑娘,红包,飓风营救3,失孤,可爱的你,十二生肖,飓风营救2
2909.62,1535.23,648.76,538.09,425.25,255.83,248.44,168.63,122.70,98.08,39.86,34.11,26.25,24.96,21.76,20.70,19.86,7.28,10.24,144.44,105.09,82.12,70.57,50.13,4397.35,1900.91,21.34,9.94,126.04,49.70,5.65,1.26,7.48,1.43,130.91,101.79,24.68,1.61,1.28,9.32,1.71,6.17,2.44,63.34,2.25,94.63,5.32,3.13,77.91,51.24,3.88,2.90,2.21
9396.62,3371.17,1074.40,1087.70,814.90,713.19,946.11,621.98,205.74,188.67,190.36,41.41,50.29,38.27,36.77,30.40,31.44,19.23,4.03,6360.81,3278.45,11871.25,2295.35,6296.89,3096.43,1235.04,13.00,7.18,124.79,3745.92,400.00,1.55,821.09,786.38,4176.66,101.33,10.49,,374.73,9.70,1.25,5.26,,3507.67,341.83,137.75,9.07,2.59,3163.47,3713.94,309.45,,
2232.93,1298.00,759.51,591.38,392.45,264.47,291.95,138.16,144.82,91.15,24.63,27.41,20.79,31.30,24.03,24.16,30.25,6.86,4.00,6265.75,3261.13,8210.19,1930.81,4590.14,2818.81,1290.31,8.11,5.55,113.37,4746.22,236.52,,402.60,753.38,5763.25,126.43,11.19,,428.42,8.61,2.04,,,6532.45,465.86,104.83,8.62,,4244.93,4357.33,428.75,,
1827.66,1115.43,665.03,523.92,364.54,251.94,268.48,118.76,127.44,78.08,17.70,25.79,19.00,34.54,19.44,24.19,29.01,6.50,,7042.72,3800.64,7794.85,1930.73,4474.18,2401.55,1131.76,7.25,4.60,92.32,1637.94,192.05,,560.14,1671.44,4468.14,131.10,9.26,,404.82,2.37,,,,5629.37,342.29,49.18,3.76,,,,,,
1447.28,1013.65,640.70,524.23,332.30,225.60,227.28,104.87,127.75,71.37,12.84,25.73,17.88,27.03,16.40,22.41,30.04,4.51,,7291.87,4460.83,6376.10,1718.11,4124.47,2135.29,1041.43,5.11,4.03,59.88,1741.16,171.71,,516.15,1501.41,1546.17,47.97,3.11,,142.36,,,,,2369.16,204.41,47.11,3.49,,,,,,
423.60,282.79,287.89,157.30,138.16,71.95,61.73,22.01,64.80,35.99,2.43,6.17,4.33,7.06,6.24,9.73,30.85,,,7693.04,4824.93,5979.14,1472.18,3752.37,1872.42,1009.23,4.76,2.26,45.09,1868.80,132.78,,227.36,349.23,1482.29,49.43,2.98,,129.02,,,,,2335.01,190.08,43.11,2.57,,,,,,
41.88,14.91,109.82,13.61,3.70,,15.86,4.06,32.68,,,5.43,3.95,3.61,3.25,7.04,9.59,,,7748.79,5120.41,5452.56,1302.90,3391.67,1368.86,834.09,2.48,,36.88,1980.19,65.07,,228.94,375.57,1301.68,44.27,4.24,,113.13,,,,,2131.39,176.86,41.73,4.45,,,,,,
43.57,15.60,163.67,17.82,5.01,,13.01,3.79,31.71,,,1.62,4.67,3.13,2.10,6.10,6.20,,,7002.93,4272.68,4228.89,1048.89,2704.05,1034.07,652.46,1.52,,8.25,2083.26,94.23,,213.38,356.42,1164.39,41.38,3.12,,101.34,,,,,1907.75,159.28,3.27,,,,,,,
52.02,22.92,215.74,23.79,7.59,,14.71,1.04,38.88,,,,4.71,,1.68,5.51,7.74,,,5776.10,3849.67,3453.19,855.01,2201.87,828.22,589.33,,,8.77,4852.18,78.02,,196.33,323.83,1269.40,18.42,,,29.60,,,,,1968.45,71.04,5.78,,,,,,,
57.81,21.98,290.60,29.45,12.94,,18.99,,43.66,,,,4.57,,,5.97,8.49,,,5174.91,3505.47,3127.15,721.14,1881.83,648.39,426.51,,,2.13,4626.93,24.36,,96.87,337.98,2209.59,26.07,,,39.99,,,,,3907.03,108.62,,,,,,,,
68.18,21.61,340.98,30.45,12.15,,16.71,,42.75,,,,3.99,,,5.75,10.87,,,4946.79,3634.14,3045.85,578.01,1504.70,628.11,369.33,,,1.12,1281.45,23.90,,145.44,913.23,1615.21,22.54,,,30.77,,,,,,,,,,,,,,
72.79,16.83,356.23,,15.51,,16.36,,40.29,,,,3.77,,,5.89,11.84,,,4808.24,3980.27,3077.57,446.23,1373.65,166.38,185.82,,,1.59,1341.85,20.18,,123.05,798.97,606.85,10.90,,,18.37,,,,,,,,,,,,,,
73.58,14.75,293.13,,15.93,,15.19,,28.10,,,,3.21,,,3.82,9.61,,,2847.81,1847.85,1681.02,272.48,792.38,142.80,143.16,,,2.72,1246.45,18.33,,61.81,165.42,600.15,11.87,,,15.66,,,,,,,,,,,,,,
77.54,11.85,258.75,,12.85,,15.59,,24.21,,,,2.97,,,3.15,8.62,,,2602.47,1801.40,1430.96,249.77,741.21,124.23,147.58,,,2.28,1140.13,9.93,,64.51,162.64,538.47,9.61,,,15.06,,,,,,,,,,,,,,
79.86,12.70,231.80,,11.63,,14.15,,20.07,,,,3.21,,,3.07,15.34,,,2345.90,1631.70,1309.91,233.30,660.90,58.84,126.04,,,2.01,1754.01,14.59,,61.45,162.05,508.67,9.37,,,14.01,,,,,,,,,,,,,,
66.65,5.47,131.11,,7.37,,12.86,,12.33,,,,3.15,,,3.68,11.63,,,2627.16,1787.53,1357.72,126.12,582.13,19.04,41.04,,,2.51,4146.70,11.12,,59.36,149.41,133.46,2.64,,,3.32,,,,,,,,,,,,,,
60.41,11.86,163.36,,5.52,,12.35,,14.00,,,,2.28,,,3.18,,,,1768.46,1551.10,681.53,43.54,175.86,40.83,13.01,,,13.71,3330.03,3.93,,11.92,75.87,233.47,,,,,,,,,,,,,,,,,,
35.34,6.63,50.33,,2.74,,9.37,,2.99,,,,2.54,,,1.04,,,,2607.62,2310.38,947.03,56.38,239.74,38.02,12.14,,,17.04,835.83,6.78,,19.29,252.77,,,,,,,,,,,,,,,,,,,
38.56,3.32,47.58,,,,8.74,,3.24,,,,1.80,,,,,,,2436.87,2057.01,843.34,43.43,216.47,3.05,2.38,,,18.28,814.48,,,,,,,,,,,,,,,,,,,,,,,
35.25,3.34,44.16,,,,9.76,,2.27,,,,1.22,,,,,,,1002.03,660.46,362.16,20.93,98.18,1.99,11.61,,,26.90,746.23,,,,,,,,,,,,,,,,,,,,,,,
22.99,,44.31,,,,3.35,,2.85,,,,,,,,,,,981.79,679.89,365.67,21.44,98.55,1.79,21.96,,,47.50,677.71,,,,,,,,,,,,,,,,,,,,,,,
12.66,,23.17,,,,1.76,,2.83,,,,,,,,,,,878.63,590.48,326.75,20.48,86.68,3.88,23.17,,,46.16,678.84,,,,,,,,,,,,,,,,,,,,,,,
13.81,,46.43,,,,1.89,,,,,,,,,,,,,806.83,539.75,302.85,19.95,77.87,,6.28,,,62.54,1854.30,,,,,,,,,,,,,,,,,,,,,,,
12.87,,50.06,,,,,,,,,,,,,,,,,787.27,558.44,209.28,6.80,39.27,,3.95,,,84.15,,,,,,,,,,,,,,,,,,,,,,,,
6.04,,2.23,,,,,,,,,,,,,,,,,1293.13,992.96,291.58,12.79,61.25,,5.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.97,,2.09,,,,,,,,,,,,,,,,,1030.88,781.00,246.67,8.63,48.99,,7.73,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.92,,1.64,,,,,,,,,,,,,,,,,493.86,295.22,126.23,4.85,23.98,,12.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.36,,2.19,,,,,,,,,,,,,,,,,473.29,307.08,119.55,4.52,23.98,,8.58,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.36,,22.76,,,,,,,,,,,,,,,,,442.70,280.75,109.72,4.81,19.95,,7.37,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.21,,25.34,,,,,,,,,,,,,,,,,408.54,264.26,98.73,4.52,18.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10.37,,,,,,,,,,,,,,,,,85.76,80.69,34.38,,1.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,138.35,139.32,33.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
